Threshold,FAR,FRR,DIR
0.10010010010010009,0.391304347826087,0.0,1.0
0.20020020020020018,0.3869565217391304,0.0,1.0
0.3003003003003003,0.3695652173913043,0.004347826086956522,0.9956521739130435
0.40040040040040037,0.34347826086956523,0.008695652173913044,0.991304347826087
0.4994994994994995,0.29782608695652174,0.021739130434782608,0.9782608695652174
0.5995995995995996,0.25217391304347825,0.03260869565217391,0.967391304347826
0.6996996996996997,0.19782608695652174,0.0391304347826087,0.9608695652173913
0.7997997997997998,0.1565217391304348,0.043478260869565216,0.9565217391304348
0.8998998998998999,0.12173913043478261,0.04782608695652174,0.9521739130434783
1.0,0.0,0.28043478260869564,0.7195652173913043
