Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Precision,Recall,F1 Score,Matthews Corr. Coeff.
1,7.490851082404455,4.602279341220855,0.006666666666666667,0.015,0.0004656862745098039,0.015,0.0008996445173639594,0.007327263890064913
2,4.605657040278117,4.58547557592392,0.02666666666666667,0.015,0.0005666666666666667,0.015,0.0010686095931997572,0.006502681868876761
3,4.563478287061056,4.588001844882965,0.03333333333333333,0.025,0.0010277113237639555,0.025,0.0019598980835271963,0.018115406964611794
4,4.178866806825002,4.8142844784259795,0.06333333333333334,0.025,0.005594148537134283,0.025,0.0061436659589525836,0.02537204972326214
5,3.4792745966215928,4.573959538340569,0.13,0.03,0.007011904761904763,0.03,0.008350091074681239,0.02667445674555399
6,2.3136826602729466,7.667386571466923,0.36666666666666664,0.02,0.0004223418857565199,0.02,0.0008263291139240505,0.014604930082178178
7,1.5918433742466187,11.271915115155279,0.57,0.045,0.011716931216931216,0.045,0.014866128690800862,0.050945414043961
8,1.3308635580763197,8.576721481531859,0.6366666666666667,0.065,0.03978838878259308,0.065,0.033175724929845496,0.0670604310583011
9,0.9270641220845789,3.7245403506653383,0.73,0.31,0.2778443763539671,0.31,0.2523296194779033,0.3124511833161124
10,0.9512477899445605,4.744752982201171,0.7566666666666667,0.23,0.22102756570328388,0.23,0.1874509034690523,0.23415082926013384
11,0.6551338661151584,2.3824293248528194,0.8166666666666667,0.525,0.5920384615384614,0.525,0.5090758848994144,0.5262977190583893
12,0.7053628257306682,2.959578253500275,0.79,0.41,0.46066682127396413,0.41,0.3900993320405084,0.41970037530509646
13,0.5890983400546317,1.9593161568239157,0.8266666666666667,0.605,0.6221552795031056,0.605,0.5714095238095238,0.606300026846851
14,0.5160833103265343,2.114804207675311,0.8733333333333333,0.565,0.6070033577533578,0.565,0.5402712842712842,0.567365890983113
15,0.5197028490529686,1.9831010551024086,0.85,0.585,0.6110852007469654,0.585,0.56091550846814,0.5863120836715159
16,0.3779913182356,1.4473879794504316,0.89,0.69,0.7161666666666667,0.69,0.6679999999999999,0.6891522415326411
17,0.37714541773795873,2.4080207426311064,0.8866666666666667,0.54,0.5938055555555555,0.54,0.5269415204678363,0.5469254818743571
18,0.32528126986206407,1.8884922866709781,0.9033333333333333,0.59,0.6370549450549451,0.59,0.5736396906588722,0.5923562919902599
19,0.34184497242832423,1.5461573828678485,0.89,0.67,0.6833571428571429,0.67,0.6396825396825396,0.669308550716261
20,0.33900121888103657,1.88098224741951,0.9,0.61,0.6733742727860376,0.61,0.6060338345864661,0.6144342497752621
21,0.2544336672067492,1.8339963355328432,0.92,0.65,0.6755490620490622,0.65,0.6234251304251304,0.6497711401372067
22,0.2337560320824458,1.564242381300361,0.9266666666666666,0.675,0.694385964912281,0.675,0.6471428571428571,0.6758601259881553
23,0.2743799851239307,1.2371060811989905,0.9066666666666666,0.74,0.7703333333333333,0.74,0.7211428571428571,0.7392804031979828
24,0.2640601709470071,1.5592849970432507,0.9266666666666666,0.68,0.6863015873015874,0.68,0.6483838383838383,0.6791730530926157
25,0.22465679608484387,1.0416868238953512,0.9366666666666666,0.77,0.7828333333333333,0.77,0.7484761904761906,0.7687452118509924
26,0.16965947042187696,1.0737670342047096,0.9433333333333334,0.74,0.7683571428571428,0.74,0.7240396825396825,0.7388304455158863
